value,params_alpha,params_kernel_size,params_learning_rate,state,variable
0.9460906386375427,0.8,"(3, 4)",0.0003303882898391635,0,air
1.5369669198989868,0.8,"(4, 4)",0.0012609398187859678,0,vwnd
1.5249756574630737,0.8,"(4, 4)",0.0008116233457037279,0,uwnd
0.9679086208343506,0.9,"(4, 4)",0.00032254053331087643,6,air
1.5225944519042969,0.8,"(3, 4)",0.001129336827659665,6,vwnd
1.5349500179290771,0.9,"(4, 4)",0.0008539916249646897,6,uwnd
0.960509181022644,0.6,"(3, 3)",0.0007526900119848083,12,air
1.5379539728164673,0.8,"(3, 4)",0.0011174351785417796,12,vwnd
1.5302133560180664,0.8,"(4, 4)",0.0008477121282342042,12,uwnd
1.0010251998901367,0.9,"(4, 4)",0.00021296999122197866,18,air
1.5349458456039429,0.7,"(3, 4)",0.0012563205348006211,18,vwnd
1.5193380117416382,0.8,"(4, 4)",0.001040176653115817,18,uwnd
